timestamp,source,class,confidence,frame_path
2025-07-30T10:58:27.647610,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8518955111503601,
2025-07-30T10:58:28.773529,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7202083468437195,
2025-07-30T10:58:29.112808,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7775821089744568,
2025-07-30T10:58:29.472246,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7541704177856445,
2025-07-30T10:58:29.884957,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.82656329870224,
2025-07-30T10:58:30.311595,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8438929319381714,
2025-07-30T10:58:30.708033,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.830941915512085,
2025-07-30T10:58:31.160697,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.857699990272522,
2025-07-30T10:58:31.559645,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8356394171714783,
2025-07-30T10:58:32.202637,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8534117937088013,
2025-07-30T10:58:32.606750,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8370348811149597,
2025-07-30T10:58:32.995812,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7772846221923828,
2025-07-30T10:58:33.558958,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8466750979423523,
2025-07-30T10:58:33.929543,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8749144673347473,
2025-07-30T10:58:34.354215,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8360773324966431,
2025-07-30T10:58:34.764843,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.752202570438385,
2025-07-30T10:58:35.208078,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7738381028175354,
2025-07-30T10:58:35.664176,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7739232778549194,
2025-07-30T10:58:36.042138,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7662582397460938,
2025-07-30T10:58:36.399194,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7905440330505371,
2025-07-30T10:58:43.255539,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5628337264060974,
2025-07-30T10:58:45.292056,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5732794404029846,
2025-07-30T10:58:53.063741,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7371140718460083,
2025-07-30T10:58:53.393193,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.739814817905426,
2025-07-30T10:58:53.732754,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7456049919128418,
2025-07-30T10:58:54.039614,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7747888565063477,
2025-07-30T10:58:54.423762,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7178466320037842,
2025-07-30T10:58:55.346985,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7019808292388916,
2025-07-30T10:58:55.744480,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6863352656364441,
2025-07-30T10:58:56.235474,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7045398354530334,
2025-07-30T10:58:56.661014,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5888156294822693,
2025-07-30T10:58:56.670809,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5602863430976868,
2025-07-30T10:58:57.125210,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6672561764717102,
2025-07-30T10:58:57.529413,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6496303677558899,
2025-07-30T10:58:58.025622,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6434376239776611,
2025-07-30T10:58:58.032858,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5655796527862549,
2025-07-30T10:58:58.537729,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6529532074928284,
2025-07-30T10:58:58.953822,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7813440561294556,
2025-07-30T10:58:59.374187,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5807662606239319,
